title,view,vote,describe,movie_genre,nation,follower,rating,season,combined_text
overtake!,55939,8.8,nhiếp_ảnh gia_tự kouya madoka rơi tình_trạng suy_thoái_lý nào thực_hiện câu đường đua quốc_tế fuji anh gặp tay đua f_thời trung_học_haruka asahina anh đột_nhiên thấy tim mình đập loạn_nhịp lần anh quyết_định hỗ_trợ asahina giúp anh biến_giấc mơ mình thành hiện_thực_đội bóng nhỏ komaki motors sống madoka_asahina người tính_cách độ tuổi hoàn_toàn khác nhau giao_thoa nhau,anime_bộ sports,nhật_bản,56,tuổi_teen,2023.0,nhiếp_ảnh gia_tự kouya madoka rơi tình_trạng suy_thoái_lý nào thực_hiện câu đường đua quốc_tế fuji anh gặp tay đua f_thời trung_học_haruka asahina anh đột_nhiên thấy tim mình đập loạn_nhịp lần anh quyết_định hỗ_trợ asahina giúp anh biến_giấc mơ mình thành hiện_thực_đội bóng nhỏ komaki motors sống madoka_asahina người tính_cách độ tuổi hoàn_toàn khác nhau giao_thoa nhau anime_bộ sports nhật_bản tuổi_teen
boushoku no berserk,2335854,9.1,fate người lính gác cổng thành sống sống vô_vàn rắc_rối_cơn đói_khát luôn cào_xé fate anh mới lọt_lòng bởi 《_bạo_thực_》 quyền_năng_chúa ban tặng nhìn nó đúng kỹ_năng vô_dụng khiến người sở_hữu đói đến phát điên_tảng băng trôi năng_lực ấy còn khả_năng tiềm_ẩn ai thấy ngày nọ hạ gục tên trộm gan đột_nhập lâu_đài fate khai_phá sức_mạnh thật của 《 bạo_thực_》 kỹ_năng nuốt_chửng toàn_bộ linh_hồn đối_tượng fate đánh_bại hấp_thụ toàn_bộ sức_mạnh chúng lần đầu_tiên trong đời fate thỏa mãn cơn đói_khát mình dần_dần người vốn đối_xử đống rác_rưởi xã_hội ruồng_bỏ bắt_đầu vực dậy ngẩng cao đầu_phá vỡ khái_niệm “ level ” chi_phối thế_giới anh gieo_rắc nỗi sợ sức_mạnh hủy diệt mình danh_xưng đầy tự_hào bạo_thực_cuồng_nhân …,anime_bộ seinen supernatural romance psychological harem fantasy drama mystery action,nhật_bản,2492,tuổi_teen,2023.0,fate người lính gác cổng thành sống sống vô_vàn rắc_rối_cơn đói_khát luôn cào_xé fate anh mới lọt_lòng bởi 《_bạo_thực_》 quyền_năng_chúa ban tặng nhìn nó đúng kỹ_năng vô_dụng khiến người sở_hữu đói đến phát điên_tảng băng trôi năng_lực ấy còn khả_năng tiềm_ẩn ai thấy ngày nọ hạ gục tên trộm gan đột_nhập lâu_đài fate khai_phá sức_mạnh thật của 《 bạo_thực_》 kỹ_năng nuốt_chửng toàn_bộ linh_hồn đối_tượng fate đánh_bại hấp_thụ toàn_bộ sức_mạnh chúng lần đầu_tiên trong đời fate thỏa mãn cơn đói_khát mình dần_dần người vốn đối_xử đống rác_rưởi xã_hội ruồng_bỏ bắt_đầu vực dậy ngẩng cao đầu_phá vỡ khái_niệm “ level ” chi_phối thế_giới anh gieo_rắc nỗi sợ sức_mạnh hủy diệt mình danh_xưng đầy tự_hào bạo_thực_cuồng_nhân … anime_bộ seinen supernatural romance psychological harem fantasy drama mystery action nhật_bản tuổi_teen
dekoboko majo no oyako jijou,191355,9.4,phù_thủy sống mình trong rừng_nọ ngày nọ cô tìm thấy đứa trẻ quyết_định đem nuôi cô bé lớn vượt mong_đợi,anime_bộ slice_of_life shoujo supernatural fantasy comedy,nhật_bản,237,tuổi_teen,2023.0,phù_thủy sống mình trong rừng_nọ ngày nọ cô tìm thấy đứa trẻ quyết_định đem nuôi cô bé lớn vượt mong_đợi anime_bộ slice_of_life shoujo supernatural fantasy comedy nhật_bản tuổi_teen
captain tsubasa season 2: junior youth-hen,220686,9.8,mới bắt_đầu tsubasa đội tới pháp thi_đấu trong giải đấu thanh_niên quốc_tế cầu_thủ bóng_đá ưu_tú nhật_bản đối_đầu cầu_thủ xuất_sắc nhất thế_giới bóng_đá bao_gồm schneider_đức pierre_pháp diaz argentina heandez ý_loạt đối_thủ mới khác,anime_bộ shounen sports,nhật_bản,192,mọi_lứa_tuổi,2023.0,mới bắt_đầu tsubasa đội tới pháp thi_đấu trong giải đấu thanh_niên quốc_tế cầu_thủ bóng_đá ưu_tú nhật_bản đối_đầu cầu_thủ xuất_sắc nhất thế_giới bóng_đá bao_gồm schneider_đức pierre_pháp diaz argentina heandez ý_loạt đối_thủ mới khác anime_bộ shounen sports nhật_bản mọi_lứa_tuổi
shangri-la frontier,1186390,9.8,thế_giới tồn_game “ thánh ” đồng_thời tồn_game “ rác ” bugs lỗi cấu_hình giật lag_cốt truyện mâu_thuẫn … nói tóm gọn game rác_thể_loại game đi ngược_thị_hiếu khiến bạn ngừng hỏi bản_thân sao mình tốn thời_gian chơi cái phế_phẩm đâu ngoài kia cậu thiếu_niên mang niềm đam_mê mãnh_liệt game “ rác ” bằng_lý nào hành_trình thách_thức game “ thánh ” cậu bắt_đầutừ hành_trình khái_niệm game thực_đối_cậu thay_đổi chút,anime_bộ shounen game fantasy adventure action,nhật_bản,1342,tuổi_teen,2023.0,thế_giới tồn_game “ thánh ” đồng_thời tồn_game “ rác ” bugs lỗi cấu_hình giật lag_cốt truyện mâu_thuẫn … nói tóm gọn game rác_thể_loại game đi ngược_thị_hiếu khiến bạn ngừng hỏi bản_thân sao mình tốn thời_gian chơi cái phế_phẩm đâu ngoài kia cậu thiếu_niên mang niềm đam_mê mãnh_liệt game “ rác ” bằng_lý nào hành_trình thách_thức game “ thánh ” cậu bắt_đầutừ hành_trình khái_niệm game thực_đối_cậu thay_đổi chút anime_bộ shounen game fantasy adventure action nhật_bản tuổi_teen
"tearmoon teikoku monogatari: dantoudai kara hajimaru, hime no tensei gyakuten story",13875,9.6,bao quanh bởi ánh mắt đầy thù_hận người_dân_công chúa_ích kỷ_đế_chế tearmoon sụp_đổ mia nhìn mặt_trời chảy_máu lần cuối lưỡi máy chém rơi xuống tỉnh dậy trở_thành đứa trẻ tuổi thời_gian quay trở_cơ_hội sống rơi_lòng cô cô bắt_đầu sửa_chữa vô_số sai_lầm gây đế_chế ốm_yếu quản_trị tham_nhũng kiểm_tra rắc_rối biên_giới kiểm_tra thiên_tai xung_đột kinh_tế kiểm_tra ôi trời vẻ làm làm chăm_mia hòa_hợp nhau cô tìm_kiếm giúp_đỡ người khác bắt_đầu người giúp trung_thành mình anne_vị mục_sư tài giỏi ludwig nhau họ nỗ_lực ngày_đêm khôi_phục đế_chế dần_dần nỗ_lực mệt_mỏi họ bắt_đầu thay_đổi tiến_trình lịch_sử đẩy toàn_bộ lục_địa hướng tới tương_lai mới bạn hỏi sao nàng công_chúa_ích kỷ_thay lòng_đổi_dạ đơn_giản cô ấy làm thế cô ấy sợ máy_chém thôi chúng đau khủng_khiếp mia ghét đau_đớn làm,anime_bộ romance fantasy comedy,nhật_bản,227,tuổi_teen,2023.0,bao quanh bởi ánh mắt đầy thù_hận người_dân_công chúa_ích kỷ_đế_chế tearmoon sụp_đổ mia nhìn mặt_trời chảy_máu lần cuối lưỡi máy chém rơi xuống tỉnh dậy trở_thành đứa trẻ tuổi thời_gian quay trở_cơ_hội sống rơi_lòng cô cô bắt_đầu sửa_chữa vô_số sai_lầm gây đế_chế ốm_yếu quản_trị tham_nhũng kiểm_tra rắc_rối biên_giới kiểm_tra thiên_tai xung_đột kinh_tế kiểm_tra ôi trời vẻ làm làm chăm_mia hòa_hợp nhau cô tìm_kiếm giúp_đỡ người khác bắt_đầu người giúp trung_thành mình anne_vị mục_sư tài giỏi ludwig nhau họ nỗ_lực ngày_đêm khôi_phục đế_chế dần_dần nỗ_lực mệt_mỏi họ bắt_đầu thay_đổi tiến_trình lịch_sử đẩy toàn_bộ lục_địa hướng tới tương_lai mới bạn hỏi sao nàng công_chúa_ích kỷ_thay lòng_đổi_dạ đơn_giản cô ấy làm thế cô ấy sợ máy_chém thôi chúng đau khủng_khiếp mia ghét đau_đớn làm anime_bộ romance fantasy comedy nhật_bản tuổi_teen
doraemon new tv series,10867706,9.1,câu trong doraemon thường công_thức chung xoay quanh rắc_rối hay xảy cậu bé nobita_học lớp nhân_vật chính nhì bộ truyện doraemon túi thần_kỳ bụng đủ loại bảo_bối tương_lai cốt truyện thường gặp nhất nobita trở nhà khóc lóc_rắc rối_cậu gặp ở trường hoặc bạn_bè cậu bé van_nài hoặc thúc_giục doraemon đưa bảo_bối giúp nobita giải_quyết rắc_rối mình hoặc trả_đũa hay khoe khoang bạn_bè cậu nobita thường đi quá xa dự_định ban_đầu doraemon thậm_chí bảo_bối mới cậu còn gặp rắc_rối lớn đôi người bạn nobita thường suneo xêkô hoặc jaian chaien lấy trộm bảo_bối sử_dụng chúng đúng mục_đích tuy_nhiên thường ở cuối câu ai sử_dụng sai mục_đích bảo_bối chịu hậu_quả mình gây người đọc rút bài_học,anime_bộ shounen sci-fi comedy kids,nhật_bản,9585,trẻ_em,2005.0,câu trong doraemon thường công_thức chung xoay quanh rắc_rối hay xảy cậu bé nobita_học lớp nhân_vật chính nhì bộ truyện doraemon túi thần_kỳ bụng đủ loại bảo_bối tương_lai cốt truyện thường gặp nhất nobita trở nhà khóc lóc_rắc rối_cậu gặp ở trường hoặc bạn_bè cậu bé van_nài hoặc thúc_giục doraemon đưa bảo_bối giúp nobita giải_quyết rắc_rối mình hoặc trả_đũa hay khoe khoang bạn_bè cậu nobita thường đi quá xa dự_định ban_đầu doraemon thậm_chí bảo_bối mới cậu còn gặp rắc_rối lớn đôi người bạn nobita thường suneo xêkô hoặc jaian chaien lấy trộm bảo_bối sử_dụng chúng đúng mục_đích tuy_nhiên thường ở cuối câu ai sử_dụng sai mục_đích bảo_bối chịu hậu_quả mình gây người đọc rút bài_học anime_bộ shounen sci-fi comedy kids nhật_bản trẻ_em
kamen rider gotchard,360833,8.2,“ giả kim_thuật ” khoa_học_giả nhằm cố_gắng tạo “ vàng ” kết_hợp khác nhau thí_nghiệm thực_hiện cách nhân_tạo làm sống_động chủng_tộc sinh_vật câu xoay quanh thời_đại thí_nghiệm tiến_hành bí_mật trong câu dạng sống nhân_tạo gọi “ chemys ” tạo bắt_chước tồn_thế_giới châu_chấu tạo nghệ_thuật kỹ_thuật giả kim tốt nhất trong số chúng cất_giữ cẩn_thận trong “ thẻ_hóa học cưỡi ngựa ” đến chúng vô_tình thả tự_nhiên nhân_vật chính chúng_ta houtarou ichinose giao nhiệm_vụ gotchadriver nhiệm_vụ thu_hồi chemys_thả thế_giới số phù_hợp làm_bạn đồng_hành con_người cộng_hưởng trái_tim nhân_hậu houtarou_thể_hợp nhất chúng biến thành kamen rider gotchard tuy_nhiên người ảnh_hưởng bởi ác_tâm con_người nguy_cơ sinh con quái_vật gọi malgam câu khám_phá bản_chất_thiện ác vốn mặt đồng_tiền_liệu gotchard_thể “ thu_thập hết ” hay bất_cẩn mình đánh_dấu hủy_diệt thế_giới,anime_bộ sci-fi tokusatsu fantasy drama comedy adventure action,nhật_bản,253,trẻ_em,2023.0,“ giả kim_thuật ” khoa_học_giả nhằm cố_gắng tạo “ vàng ” kết_hợp khác nhau thí_nghiệm thực_hiện cách nhân_tạo làm sống_động chủng_tộc sinh_vật câu xoay quanh thời_đại thí_nghiệm tiến_hành bí_mật trong câu dạng sống nhân_tạo gọi “ chemys ” tạo bắt_chước tồn_thế_giới châu_chấu tạo nghệ_thuật kỹ_thuật giả kim tốt nhất trong số chúng cất_giữ cẩn_thận trong “ thẻ_hóa học cưỡi ngựa ” đến chúng vô_tình thả tự_nhiên nhân_vật chính chúng_ta houtarou ichinose giao nhiệm_vụ gotchadriver nhiệm_vụ thu_hồi chemys_thả thế_giới số phù_hợp làm_bạn đồng_hành con_người cộng_hưởng trái_tim nhân_hậu houtarou_thể_hợp nhất chúng biến thành kamen rider gotchard tuy_nhiên người ảnh_hưởng bởi ác_tâm con_người nguy_cơ sinh con quái_vật gọi malgam câu khám_phá bản_chất_thiện ác vốn mặt đồng_tiền_liệu gotchard_thể “ thu_thập hết ” hay bất_cẩn mình đánh_dấu hủy_diệt thế_giới anime_bộ sci-fi tokusatsu fantasy drama comedy adventure action nhật_bản trẻ_em
cái thế đế tôn,31693,7.3,cái thế_đế tôn kể thời_xưa chư_thánh tranh_bá thiếu_niên gọi thần ngủ họa_phúc mở bộ công_pháp nghịch_thiên đấy kỳ_tài nhục_thể vô_song tung hoành_thiên_địa kiếm trảm tinh_thần ngàn vạn kỳ_tài quỳ rạp chân hắn quần_hùng trổi dậy giữa đất_trời duy_ngã bá_vũ_độc tôn,anime_bộ cartoon fantasy adventure action,trung_quốc,239,tuổi_teen,2023.0,cái thế_đế tôn kể thời_xưa chư_thánh tranh_bá thiếu_niên gọi thần ngủ họa_phúc mở bộ công_pháp nghịch_thiên đấy kỳ_tài nhục_thể vô_song tung hoành_thiên_địa kiếm trảm tinh_thần ngàn vạn kỳ_tài quỳ rạp chân hắn quần_hùng trổi dậy giữa đất_trời duy_ngã bá_vũ_độc tôn anime_bộ cartoon fantasy adventure action trung_quốc tuổi_teen
vạn giới chí tôn,330621,6.0,vạn giới_chí tôn nói câu sở vân_phi gặp gia_tộc tụ_biến lưu_lạc đến dược vương_cốc ở trung_châu trong hắn dựa cố_gắng mình danh chấn_giới tu_luyện trung_châu trở quê cũ báo_thù thề_tra chân_tướng trong quá_trình hắn lần ám_hại trải_tra khó_nhằn hắn kinh_ngạc phát_hiện kẻ đứng mọi đương_kim_đế hậu,anime_bộ fantasy adventure action,trung_quốc,271,tuổi_teen,2022.0,vạn giới_chí tôn nói câu sở vân_phi gặp gia_tộc tụ_biến lưu_lạc đến dược vương_cốc ở trung_châu trong hắn dựa cố_gắng mình danh chấn_giới tu_luyện trung_châu trở quê cũ báo_thù thề_tra chân_tướng trong quá_trình hắn lần ám_hại trải_tra khó_nhằn hắn kinh_ngạc phát_hiện kẻ đứng mọi đương_kim_đế hậu anime_bộ fantasy adventure action trung_quốc tuổi_teen
